customer_id,age,income,past_purchases,website_visits,discount,treatment,purchased
193,50,40806,2,2,0,0,0
194,59,95520,5,6,20,1,0
195,61,21759,6,4,0,0,0
196,41,61949,7,7,0,0,0
197,32,22482,5,8,0,0,0
198,49,44442,4,6,10,1,1
199,49,53719,5,3,0,0,0
200,41,78066,5,4,10,1,0
201,58,22079,3,5,15,1,0
202,29,22717,1,3,20,1,1
203,56,79676,4,5,0,0,0
204,19,47952,8,8,0,0,1
205,20,62460,3,8,0,0,0
206,54,92847,2,5,0,0,0
207,34,38449,4,5,0,0,0
208,19,53536,3,8,20,1,1
209,19,84077,3,5,15,1,1
210,45,58258,2,4,0,0,0
211,40,68302,5,3,0,0,0
212,54,48865,5,7,0,0,1
213,49,26645,4,4,0,0,0
214,50,58000,3,4,15,1,1
215,18,46737,7,5,10,1,0
216,36,31485,4,3,5,1,0
217,19,58565,3,5,0,0,0
218,61,45522,0,4,0,0,0
219,43,85155,2,6,0,0,0
220,49,75168,3,5,0,0,0
221,23,72487,3,5,15,1,0
222,49,32342,5,2,0,0,0
223,21,60806,4,5,10,1,0
224,28,68770,5,3,0,0,0
225,34,98623,7,3,20,1,1
226,55,95629,3,5,20,1,0
227,41,72603,5,4,15,1,0
228,22,46399,2,3,20,1,1
229,51,96534,6,4,15,1,0
230,23,75106,5,2,10,1,0
231,39,50678,6,6,10,1,0
232,28,96218,3,7,0,0,0
233,65,83230,2,3,10,1,0
234,33,94055,1,5,0,0,0
235,50,76373,2,4,5,1,0
236,26,51480,3,6,15,1,0
237,23,88836,2,6,20,1,1
238,33,92258,7,2,15,1,0
239,46,59986,2,2,0,0,0
240,20,44160,4,5,0,0,0
241,37,99111,4,2,15,1,0
242,53,84929,0,7,20,1,0
243,36,93506,4,4,0,0,0
244,43,54911,6,5,0,0,0
245,20,51821,4,7,0,0,1
246,36,95039,7,5,10,1,0
247,37,80535,2,7,0,0,0
248,49,32175,4,1,0,0,0
249,24,74771,5,3,0,0,0
250,58,86358,5,4,0,0,1
251,50,37327,1,9,0,0,0
252,57,67057,5,4,15,1,1
253,56,26150,3,5,10,1,0
254,35,24425,4,6,0,0,0
255,57,36032,2,6,0,0,0
256,18,22198,5,3,0,0,0
257,28,80500,8,3,0,0,0
258,45,73394,4,5,0,0,0
259,42,40079,9,7,0,0,0
260,40,56220,3,6,15,1,0
261,48,61874,3,6,15,1,1
262,47,33859,0,4,0,0,0
263,59,70460,4,7,0,0,0
264,52,51419,4,4,0,0,0
265,24,28705,1,8,0,0,0
266,33,62880,3,5,0,0,0
267,43,43236,4,5,0,0,0
268,65,35358,7,4,0,0,1
269,19,96918,4,5,10,1,1
270,18,34596,3,2,0,0,0
271,65,53572,1,3,10,1,0
272,29,98757,5,7,0,0,0
273,22,21279,7,5,0,0,0
274,54,83197,4,6,0,0,0
275,49,82516,4,7,10,1,0
276,26,27083,1,2,0,0,0
277,58,37771,8,7,0,0,0
278,52,49975,4,5,0,0,0
279,36,65648,1,5,5,1,0
280,65,68285,1,7,20,1,0
281,33,39063,2,6,0,0,1
282,20,87642,4,5,5,1,0
283,37,57599,0,0,0,0,0
284,41,71920,7,7,0,0,0
285,50,48529,4,5,15,1,0
286,41,55954,7,5,0,0,0
287,28,47856,6,6,20,1,1
288,25,22573,5,8,5,1,0
289,53,98344,7,4,0,0,0
290,55,55367,6,6,0,0,0
291,57,80774,8,4,0,0,0
292,37,43752,4,1,5,1,0
293,52,75029,2,3,0,0,0
294,65,37685,8,4,0,0,0
295,42,71693,6,5,0,0,1
296,52,75961,2,4,15,1,1
297,42,96908,5,5,0,0,1
298,46,94532,4,2,5,1,1
299,35,76133,3,2,20,1,1
300,63,81268,4,5,20,1,0
301,35,58243,3,5,5,1,1
302,19,77384,3,5,0,0,1
303,52,51653,6,6,0,0,0
304,33,46657,3,4,0,0,0
305,58,59952,3,9,0,0,1
306,53,42180,3,7,10,1,0
307,50,98411,5,2,20,1,1
308,21,21622,3,3,0,0,0
309,50,68756,4,4,0,0,0
310,31,60809,3,6,0,0,0
311,38,36725,3,7,10,1,0
312,65,81396,6,4,0,0,0
313,37,71226,4,5,0,0,0
314,25,49402,7,5,0,0,0
315,24,24263,0,3,0,0,1
316,20,66828,6,3,15,1,0
317,34,67924,3,7,15,1,0
318,50,94182,4,3,0,0,0
319,65,79052,3,8,10,1,0
320,29,31664,5,8,15,1,0
321,39,55737,3,5,20,1,0
322,39,49373,2,5,0,0,0
323,63,56397,1,3,0,0,0
324,47,58709,4,3,0,0,0
325,55,81120,9,6,15,1,1
326,55,39250,2,5,0,0,0
327,62,41172,6,4,0,0,0
328,25,31555,5,6,0,0,1
329,44,98617,3,3,15,1,1
330,44,73276,3,12,0,0,1
331,51,77492,2,1,15,1,0
332,38,73002,4,6,15,1,0
333,47,92355,3,1,0,0,0
334,50,44762,1,6,0,0,0
335,45,31046,5,1,0,0,0
336,64,48769,4,4,0,0,0
337,50,73302,7,3,15,1,0
338,22,43150,4,3,20,1,1
339,65,88247,7,5,15,1,0
340,36,24853,4,5,0,0,0
341,21,41792,3,5,15,1,1
342,52,79129,0,9,0,0,0
343,34,94478,4,3,20,1,0
344,61,87298,1,3,0,0,0
345,45,51987,3,6,0,0,0
346,47,35850,3,6,0,0,0
347,46,32112,2,3,0,0,0
348,63,44058,5,7,5,1,1
349,23,65420,5,4,15,1,1
350,52,58890,5,1,0,0,0
351,58,86017,3,7,0,0,1
352,54,67304,4,7,0,0,0
353,41,52921,0,2,0,0,0
354,46,21524,3,5,0,0,0
355,63,35048,3,6,0,0,0
356,48,55111,8,9,0,0,0
357,52,57904,4,3,5,1,1
358,50,74912,4,4,20,1,1
359,38,54008,4,10,0,0,0
360,49,20060,2,4,0,0,1
361,40,94666,5,4,0,0,0
362,50,75337,2,4,0,0,1
363,20,33350,5,7,0,0,0
364,35,44354,3,8,15,1,0
365,42,65186,4,6,15,1,0
366,59,48145,6,6,0,0,0
367,48,54020,3,3,0,0,0
368,20,95186,9,5,15,1,1
369,57,40581,4,6,0,0,0
370,63,43051,4,2,0,0,0
371,41,71474,1,8,10,1,0
372,49,89626,7,5,0,0,0
373,64,26960,4,4,0,0,0
374,39,55772,4,4,5,1,1
375,40,41520,4,2,5,1,0
376,19,69481,3,5,0,0,0
377,44,56408,1,5,0,0,0
378,59,77134,3,4,10,1,0
379,19,40491,9,2,15,1,1
380,43,21341,2,4,0,0,0
381,34,64623,7,4,20,1,1
382,57,20338,2,1,0,0,0
383,50,91431,5,8,15,1,1
384,26,32254,0,4,0,0,0
385,60,71860,3,10,0,0,0
386,65,31344,9,6,5,1,0
387,56,21750,6,3,10,1,0
388,46,74756,8,6,5,1,1
389,59,87957,5,4,0,0,0
390,43,78053,5,3,20,1,1
391,52,90855,5,2,5,1,0
392,42,35896,2,3,0,0,0
393,41,75761,9,5,5,1,1
394,30,82552,5,3,15,1,0
395,24,97454,1,4,0,0,0
396,53,47935,4,3,5,1,0
397,62,57641,5,6,0,0,0
398,37,49711,3,5,5,1,0
399,18,90342,5,5,15,1,0
400,25,32182,3,4,0,0,0
401,63,76276,4,4,15,1,0
402,33,39541,3,6,0,0,0
403,31,64813,1,4,0,0,0
404,29,57198,5,6,0,0,0
405,40,28820,3,4,0,0,0
406,32,44070,2,5,0,0,0
407,45,89768,2,5,0,0,0
408,51,31122,4,4,0,0,0
409,19,93543,2,5,0,0,0
410,49,61786,4,3,15,1,0
411,40,26737,3,4,15,1,0
412,39,56062,2,6,0,0,1
413,42,74237,3,6,0,0,0
414,39,71571,10,1,20,1,0
415,39,45510,4,3,0,0,0
416,59,39426,5,4,0,0,0
417,23,57265,3,6,0,0,0
418,32,37850,4,4,5,1,1
419,60,86150,4,3,20,1,1
420,54,94910,3,14,0,0,0
421,50,72375,6,5,5,1,0
422,25,55435,3,4,0,0,0
423,61,77132,5,5,20,1,0
424,61,98945,3,5,20,1,0
425,22,22983,0,7,0,0,0
426,56,40662,6,7,0,0,0
427,21,43510,3,7,0,0,0
428,23,98187,2,2,0,0,0
429,62,60998,5,5,15,1,1
430,49,76846,6,3,0,0,0
431,47,26640,1,7,0,0,1
432,64,64547,6,2,20,1,0
433,52,74620,2,6,0,0,0
434,57,35317,2,4,10,1,0
435,33,27564,2,8,0,0,0
436,30,47345,3,5,0,0,0
437,59,99273,4,1,20,1,1
438,47,94859,3,2,10,1,1
439,36,94038,3,3,0,0,0
440,34,72393,1,6,20,1,0
441,36,86081,4,8,20,1,1
442,45,49430,7,4,0,0,0
443,43,95532,6,3,20,1,0
444,54,47788,6,6,0,0,0
445,43,68543,5,6,0,0,0
446,40,33919,3,8,20,1,0
447,26,89346,2,6,0,0,0
448,29,59974,5,6,0,0,0
449,18,36371,6,5,0,0,0
450,18,65084,0,4,10,1,1
451,64,49629,6,5,5,1,0
452,51,71184,3,5,0,0,1
453,49,81916,4,6,0,0,1
454,65,93972,4,11,15,1,0
455,42,82187,3,8,20,1,0
456,57,32984,10,7,20,1,1
457,62,53039,1,7,0,0,0
458,18,78606,5,4,0,0,0
459,33,30616,2,8,15,1,0
460,56,70072,2,6,0,0,1
461,22,44574,3,2,0,0,0
462,39,23430,7,4,0,0,1
463,46,32676,1,0,0,0,0
464,20,30816,2,6,0,0,1
465,29,52733,4,0,5,1,0
466,43,22050,6,7,0,0,0
467,33,53933,1,9,0,0,0
468,54,44951,4,7,5,1,1
469,39,52413,6,2,0,0,0
470,46,54801,3,4,10,1,1
471,31,75619,5,8,20,1,0
472,45,52913,3,5,0,0,0
473,22,60600,4,5,0,0,0
474,64,77775,6,6,0,0,1
475,47,55400,2,2,10,1,0
476,63,24494,3,4,0,0,0
477,22,94691,3,7,0,0,0
478,29,63001,4,3,0,0,0
479,33,87364,9,6,10,1,1
480,43,65028,6,2,0,0,0
481,43,57573,6,8,0,0,0
482,65,20806,5,10,15,1,0
483,38,76638,1,5,10,1,0
484,56,49757,0,4,0,0,0
485,53,54636,9,4,10,1,1
486,50,68280,2,8,0,0,0
487,47,44262,5,9,20,1,1
488,54,82211,4,7,20,1,1
489,40,74842,2,7,0,0,0
490,27,76979,4,3,0,0,1
491,22,58197,0,8,10,1,0
492,53,61844,3,7,5,1,1
493,51,84754,3,2,0,0,0
494,48,54157,4,5,20,1,0
495,27,97129,2,7,0,0,0
496,36,60042,1,6,0,0,0
497,49,81665,0,1,20,1,1
498,18,47376,2,3,20,1,0
499,22,75554,6,4,5,1,0
500,62,34199,3,4,0,0,0
501,21,70948,4,3,5,1,0
502,33,93781,4,7,10,1,1
503,41,92750,2,9,20,1,1
504,33,86262,3,4,15,1,1
505,19,66600,3,3,15,1,1
506,45,96898,4,4,0,0,0
507,49,82483,4,4,0,0,0
508,44,38297,1,6,15,1,0
509,37,50448,5,3,0,0,0
510,41,46172,3,10,0,0,0
511,29,62874,6,5,5,1,0
512,52,27657,3,5,0,0,1
513,50,45425,8,3,0,0,0
514,50,46685,4,2,10,1,1
515,60,44578,8,7,0,0,0
516,54,48831,4,5,0,0,0
517,29,27906,4,4,15,1,0
518,20,81413,5,6,0,0,0
519,18,74028,5,5,0,0,0
520,50,27287,4,4,0,0,0
521,57,53660,2,7,0,0,0
522,27,95758,3,4,5,1,0
523,60,80504,5,2,0,0,0
524,61,79720,0,3,0,0,1
525,46,54701,2,8,20,1,1
526,30,37674,4,5,0,0,0
527,29,43874,4,6,0,0,1
528,48,63642,3,2,15,1,1
529,63,85160,4,3,0,0,0
530,19,37602,9,3,0,0,0
531,52,45931,0,7,0,0,0
532,40,49192,4,5,0,0,0
533,34,66542,0,2,0,0,0
534,43,62520,5,2,0,0,0
535,25,84772,4,7,20,1,1
536,46,78762,4,8,0,0,0
537,43,70106,3,4,10,1,1
538,27,45559,5,4,0,0,0
539,43,53742,4,4,0,0,0
540,51,89669,2,3,20,1,1
541,58,41754,7,4,0,0,0
542,24,23972,5,6,10,1,0
543,21,90831,2,5,0,0,1
544,62,61873,8,5,15,1,1
545,28,29903,1,3,10,1,0
546,46,23020,4,6,0,0,0
547,53,61755,4,4,0,0,1
548,42,65648,1,2,0,0,0
549,38,29516,3,5,20,1,0
550,53,22396,3,7,10,1,0
551,27,39129,6,8,15,1,0
552,54,21591,4,0,0,0,0
553,26,31303,4,5,10,1,1
554,41,50561,1,4,0,0,1
555,52,91719,6,6,5,1,1
556,52,27314,3,4,10,1,0
557,65,39623,3,7,0,0,0
558,53,87675,3,2,0,0,1
559,35,85082,4,3,0,0,0
560,56,53130,6,3,0,0,0
561,49,71756,7,5,0,0,1
562,41,46292,2,6,0,0,0
563,40,89274,3,9,0,0,0
564,49,22469,3,6,0,0,0
565,54,73947,4,7,10,1,1
566,29,42534,4,2,15,1,0
567,30,83620,3,2,0,0,1
568,40,68874,5,8,5,1,0
569,42,69708,5,8,20,1,1
570,52,94553,4,8,5,1,1
571,58,88344,8,7,10,1,1
572,47,69138,4,6,0,0,0
573,34,74302,3,2,10,1,0
574,37,67638,5,7,0,0,0
575,65,98249,9,6,10,1,0
576,42,22719,5,5,0,0,0
577,39,42890,2,6,15,1,0
578,30,97236,5,4,15,1,0
579,36,56509,2,4,10,1,0
580,53,62534,2,4,10,1,0
581,29,38787,5,5,0,0,0
582,58,68845,2,4,0,0,0
583,36,77932,5,7,0,0,0
584,29,53062,1,2,5,1,1
585,26,95713,3,4,0,0,0
586,24,80461,3,1,0,0,0
587,45,95418,2,6,0,0,0
588,31,86672,6,1,15,1,1
589,48,54832,2,6,5,1,0
590,36,51966,0,6,0,0,0
591,64,92545,5,0,0,0,0
592,33,32987,2,6,0,0,0
593,22,57311,5,1,0,0,0
594,52,51575,1,4,10,1,1
595,29,83852,5,6,0,0,1
596,42,21007,5,7,20,1,0
597,38,90981,5,6,15,1,0
598,53,96242,8,3,10,1,0
599,40,67517,4,7,15,1,0
600,33,49257,5,6,15,1,1
601,56,62207,6,5,15,1,0
602,62,33281,5,7,0,0,1
603,59,81246,4,4,5,1,0
604,56,21435,2,7,0,0,1
605,31,46660,7,1,20,1,1
606,48,25084,2,2,10,1,0
607,22,33507,4,2,0,0,0
608,52,92595,3,6,0,0,0
609,40,65539,4,8,10,1,0
610,46,27491,5,6,15,1,0
611,60,70192,2,0,0,0,0
612,28,83888,7,10,10,1,0
613,35,93609,2,2,5,1,0
614,64,29077,5,5,0,0,0
615,29,40953,1,8,5,1,1
616,26,96919,3,5,15,1,0
617,27,87889,1,4,10,1,0
618,61,43821,4,3,0,0,0
619,34,57567,5,7,0,0,0
620,55,44860,5,7,0,0,0
621,24,41195,3,3,0,0,0
622,63,97475,4,3,20,1,1
623,30,41427,4,2,0,0,0
624,57,47083,9,2,15,1,0
625,59,77372,5,7,10,1,1
626,26,64064,5,4,0,0,0
627,44,27813,7,1,0,0,0
628,19,51598,3,3,0,0,0
629,22,47082,2,10,0,0,0
630,46,49241,7,3,0,0,0
631,54,64569,7,6,20,1,0
632,55,31745,5,4,5,1,1
633,36,46029,6,5,10,1,0
634,25,33025,5,3,0,0,0
635,65,34288,2,7,0,0,0
636,62,26540,5,5,5,1,0
637,18,88878,7,2,0,0,0
638,39,61846,6,6,0,0,0
639,34,95932,2,3,15,1,0
640,24,37482,6,2,0,0,0
641,42,43411,3,7,0,0,0
642,62,70975,5,6,0,0,0
643,21,80545,4,3,0,0,0
644,53,98797,2,5,0,0,0
645,23,72307,5,7,0,0,0
646,48,23093,6,4,5,1,0
647,36,97258,6,4,0,0,1
648,61,42042,3,3,0,0,0
649,56,72930,4,6,5,1,0
650,44,64413,4,4,0,0,0
651,27,53756,5,5,0,0,0
652,43,73268,2,7,10,1,1
653,36,59214,1,4,0,0,0
654,56,48602,1,3,5,1,0
655,20,73331,7,1,0,0,0
656,62,68901,7,5,10,1,0
657,30,83416,5,8,5,1,1
658,45,52196,5,5,0,0,0
659,37,25626,2,5,0,0,0
660,45,27424,1,3,0,0,1
661,25,32857,6,3,0,0,1
662,58,39982,3,6,15,1,1
663,56,96961,3,5,0,0,0
664,18,21980,3,7,0,0,0
665,20,68290,2,6,10,1,1
666,30,46431,4,8,0,0,0
667,45,46385,3,8,0,0,0
668,42,58158,7,8,15,1,0
669,50,43019,4,9,5,1,0
670,55,38639,3,5,15,1,1
671,23,41563,5,3,0,0,0
672,61,59341,2,4,5,1,0
673,62,25776,4,5,5,1,0
674,49,56444,3,6,0,0,0
675,62,88916,5,7,20,1,1
676,64,28711,2,4,0,0,0
677,38,94318,6,6,0,0,0
678,33,50707,3,13,0,0,1
679,38,59110,4,3,0,0,0
680,28,81788,5,7,0,0,1
681,54,58827,4,7,20,1,0
682,53,25655,4,2,5,1,0
683,52,64859,2,5,0,0,0
684,36,73625,3,2,0,0,0
685,37,72098,2,4,0,0,1
686,35,35251,1,3,0,0,0
687,64,20526,3,3,0,0,0
688,58,88760,4,1,0,0,0
689,31,67837,4,7,20,1,0
690,32,31536,7,4,0,0,1
691,48,48541,2,9,0,0,1
692,18,99083,5,4,10,1,0
693,20,71027,8,6,0,0,1
694,33,54531,9,3,0,0,0
695,40,28712,2,8,0,0,0
696,28,85455,4,6,0,0,0
697,29,94744,4,5,15,1,1
698,27,25109,6,3,10,1,1
699,49,69268,5,11,10,1,1
700,33,74615,1,7,0,0,0
701,25,49759,2,6,5,1,0
702,55,80112,6,6,0,0,0
703,29,46589,5,6,0,0,0
704,41,50015,4,6,0,0,0
705,45,49009,5,5,0,0,0
706,25,82046,4,8,0,0,0
707,45,46143,4,6,0,0,0
708,53,26154,1,8,0,0,0
709,43,41804,8,13,0,0,1
710,25,61688,2,4,0,0,0
711,45,84288,4,1,5,1,0
712,45,71195,7,4,0,0,0
713,54,40581,6,2,0,0,0
714,58,72648,3,7,5,1,1
715,53,50087,5,4,0,0,0
716,44,69930,5,5,0,0,0
717,34,52981,3,8,0,0,1
718,26,89298,3,6,0,0,0
719,50,66167,5,5,0,0,0
720,37,95304,1,2,0,0,0
721,30,63408,4,6,0,0,0
722,45,59499,2,5,10,1,0
723,65,72269,1,6,0,0,0
724,46,58559,2,3,20,1,1
725,30,94319,4,6,0,0,0
726,63,68787,4,6,5,1,0
727,52,55488,2,4,0,0,0
728,23,94441,9,7,0,0,0
729,35,94663,4,4,0,0,0
730,22,42431,5,0,10,1,0
731,64,81681,4,9,10,1,0
732,42,83483,3,1,15,1,1
733,19,69153,6,6,0,0,0
734,27,26368,5,4,5,1,0
735,47,47424,5,5,0,0,0
736,62,65004,4,6,0,0,0
737,22,76985,4,8,0,0,0
738,50,70069,3,4,0,0,0
739,18,72326,1,5,5,1,0
740,35,43398,1,10,20,1,0
741,49,70861,5,5,20,1,1
742,64,95897,6,7,0,0,1
743,28,88577,6,6,0,0,0
744,38,85641,3,4,0,0,0
745,43,29078,6,3,0,0,0
746,42,45003,5,5,0,0,0
747,39,82768,6,4,15,1,1
748,44,71047,1,4,0,0,0
749,30,91626,3,5,0,0,1
750,50,77660,3,2,0,0,0
751,51,69786,6,7,10,1,1
752,58,21925,2,3,10,1,0
753,52,46015,9,5,0,0,1
754,18,53320,4,6,0,0,1
755,38,84881,3,8,20,1,0
756,65,46289,5,5,0,0,0
757,23,23389,5,3,0,0,0
758,45,45683,2,3,0,0,0
759,34,33629,3,5,0,0,0
760,22,81550,5,7,0,0,0
761,48,44826,4,5,0,0,0
762,22,46630,3,5,0,0,0
763,55,66163,1,10,5,1,0
764,20,86435,4,2,0,0,0
765,40,31653,2,6,0,0,0
766,54,47961,8,7,0,0,0
767,54,94137,7,4,0,0,0
768,27,53662,5,11,0,0,0
769,27,76446,2,5,20,1,1
770,36,41288,4,4,5,1,0
771,34,56877,6,1,0,0,0
772,38,35313,3,11,0,0,0
773,31,92715,2,3,0,0,1
774,26,30326,5,2,0,0,0
775,63,21560,5,7,0,0,0
776,18,99148,5,5,15,1,0
777,62,46745,5,1,0,0,0
778,30,51890,6,6,0,0,0
779,21,40022,4,4,10,1,0
780,18,72579,0,9,0,0,0
781,57,90316,6,4,0,0,0
782,49,48380,5,9,10,1,1
783,51,22356,6,5,10,1,0
784,45,90326,6,2,0,0,0
785,48,40049,2,8,0,0,0
786,25,95717,2,2,0,0,0
787,56,36082,3,7,0,0,0
788,43,20661,6,9,0,0,0
789,51,57412,4,3,5,1,0
790,20,22920,3,3,20,1,0
791,29,80315,3,6,0,0,0
792,18,99561,3,7,0,0,0
793,61,28946,4,2,0,0,0
794,22,65500,2,9,0,0,1
795,47,36309,4,5,0,0,0
796,47,75230,4,5,5,1,0
797,34,50027,6,3,10,1,0
798,65,92541,2,6,15,1,1
799,64,79321,1,6,10,1,0
800,40,20956,5,4,0,0,0
801,32,94131,5,6,0,0,0
802,54,67908,6,8,20,1,0
803,38,98339,6,4,0,0,0
804,31,45963,1,6,0,0,0
805,19,59443,3,4,0,0,0
806,28,59063,3,9,0,0,0
807,56,24703,7,5,20,1,0
808,55,85128,6,7,20,1,0
809,51,92099,3,2,15,1,0
810,55,45849,4,4,0,0,1
811,51,51860,1,4,20,1,1
812,35,51585,4,7,15,1,0
813,47,42015,4,3,0,0,0
814,32,97539,1,4,0,0,0
815,44,63585,2,3,20,1,0
816,51,46958,6,3,15,1,0
817,55,46017,4,2,10,1,0
818,50,96707,2,10,10,1,0
819,41,65350,7,3,0,0,0
